vn_id,rid,vn_title,age_rating,vn_length_str,vn_length_h,has_anime,is_nukige
v1329,r3039,Princess Party,18,10-30 h,18.000,f,f
v1331,r122648,Memories Off After Rain,12,10-30 h,22.361,f,f
v1333,r2607,Mugen Kairou,18,10-30 h,17.745,f,f
v1338,r2616,Princess Frontier,18,10-30 h,24.000,f,f
v1339,r2618,Henshi~n!,18,10-30 h,10.417,f,t
v1343,r12262,Kangoku Senkan ~Hidou no Sennou Kaizou Koukai~,18,2-10 h,4.900,t,t
v1345,r34365,Tsukiakari no Raspberry ~Tsun★Dere II~,18,2-10 h,3.417,f,t
v1346,r2628,Tsun★Dere! ~PunyuPuri EX~,18,0-2 h,0.708,f,t
v1350,r2632,Sultan ~The Lovesong is Forever~,18,10-30 h,48.000,f,f
v1354,r56403,Seien Tenshi Eleanor,18,Unknown,24.000,f,f
v1356,r37239,Ikari Shinji Ikusei Keikaku,16,10-30 h,8.833,t,f
v1357,r2644,Shinseiki Evangelion Koutetsu no Girlfriend 2nd,0,2-10 h,4.944,t,f
v1358,r17047,"Sakura Taisen 2 ~Kimi, Shinitamou koto Nakare~",0,10-30 h,27.438,f,f
v1359,r2651,-atled-,0,10-30 h,12.000,f,f
v1360,r2661,Machi,0,30-50 h,28.983,f,f
v1362,r2668,Ayu Mayu Alternative,0,2-10 h,8.804,t,f
v1365,r22614,Pai Touch!,18,2-10 h,4.000,f,t
v1366,r2674,Soukan Yuugi 2,18,2-10 h,12.000,t,t
v1369,r2678,Hanafubuki ~Sennen no Koi o Shimashita~,18,Unknown,23.125,f,f
v1371,r2681,Gogatsu no Sora.,0,2-10 h,4.747,f,f
v1375,r2900,Tayutama -It's Happy Days-,18,2-10 h,16.337,f,f
v1376,r2689,Otome Renshin Prister,18,Unknown,100.000,f,f
v1377,r2692,Kono Yo no Hate de Koi o Utau Shoujo YU-NO,18,50+ h,45.970,t,f
v1378,r2888,Tapestry -you will meet yourself-,18,10-30 h,42.717,f,f
v1384,r2704,Toy Tsumechaimashita!,18,2-10 h,0.508,f,f
v1388,r2715,LEAVEs.,18,2-10 h,4.031,f,f
v1390,r2718,Jouka no Monshou,0,0-2 h,2.037,f,f
v1391,r2721,Ookami to Koushinryou - Boku to Holo no Ichinen,12,Unknown,17.667,t,f
v1392,r2722,Peace@Pieces,18,10-30 h,21.000,f,f
v1398,r1983,Yoake Mae yori Ruri Iro na -Moonlight Cradle-,18,10-30 h,29.333,f,f
v1399,r2735,sweet pool,18,10-30 h,14.036,f,f
v1401,r2737,Masquerade ~Jigoku Gakuen SO/DO/MU~,18,10-30 h,17.569,f,t
v1402,r2738,Artificial Mermaid -Silver Chaos II-,18,10-30 h,34.017,f,f
v1409,r2746,Nymphomania,18,10-30 h,16.500,f,t
