music_id,music_type,music_name,stat_correct,stat_played,stat_guessed,stat_averageguessms,avg_vote,music_vote_count
324,Ending,Koi,0,2,1,8993,,0
325,Ending,Tousenbo,2,10,5,5300,,0
326,Ending,TOO LATE,0,6,1,25000,,0
327,Opening,Plastic Smile (^^,27,107,57,16639,70.0000000000000000,4
328,Ending,Hibi,0,7,2,8594,65.0000000000000000,4
329,Ending,Primary Memory,1,22,12,13458,67.0000000000000000,2
330,Opening,BLUE SKY,11,58,33,10364,65.0000000000000000,4
331,Opening,Autumn Destiny,7,53,25,4047,46.0000000000000000,3
332,Ending,Omoide,4,21,13,12301,60.0000000000000000,1
333,Ending,Tatoeba,17,89,30,14147,75.0000000000000000,5
334,Ending,Sakamichi,10,66,34,14458,64.0000000000000000,5
335,Opening,Clover Heart's,77,177,122,12750,80.0000000000000000,5
336,Opening,As time goes by,12,35,18,12432,,0
337,Ending,Koiwazurai,4,26,7,4408,,0
338,Opening,Kimi no Mamade,16,46,28,12488,,0
339,Ending,Egao o Misete,5,16,6,10000,,0
340,Opening,Dream in The Sky,13,44,29,10484,,0
341,Ending,Love Letter,3,9,4,11245,,0
342,Ending,Hoshizora,1,4,3,6392,,0
343,Ending,Sora ni Todoku,2,8,5,14898,,0
344,Ending,Hula Hoop,0,11,4,19337,,0
345,Ending,School Bus,0,3,1,13379,,0
346,Ending,Irodori,0,3,0,0,,0
347,Opening,Green Green,13,26,16,7915,75.0000000000000000,1
348,Opening,GREEN DAY,7,27,14,14700,65.0000000000000000,2
349,Ending,Katakoi,1,11,3,5944,64.0000000000000000,1
350,Ending,wish,3,16,10,11091,,0
351,Ending,Monochrome,11,27,17,12843,60.0000000000000000,1
352,Ending,Fleur,1,12,3,3102,68.0000000000000000,3
353,Ending,Otokonoko,1,10,8,12434,65.0000000000000000,1
354,Ending,Suteki na Yozora,7,21,12,10232,64.0000000000000000,1
355,Ending,Tension & Mission,2,15,7,4987,63.0000000000000000,2
356,Ending,Tabiji no Hate de Tsukamaete,5,24,14,11010,62.0000000000000000,1
357,Ending,Sutekina Mirai o,2,21,10,16691,,0
358,Ending,Egao no Yakusoku,1,7,3,14812,,0
359,Opening,Haru -Feel Coming Spring-,13,52,36,13101,70.0000000000000000,1
360,Ending,Engagement,0,7,3,19493,,0
361,Ending,Spiral Spring -Step of Spring mix-,4,22,11,15808,,0
